Año,Porcentaje
1920,5
1921,-8.84
1922,-16.17
1923,7.42
1924,-4.42
1925,5.2
1926,-1.92
1927,-2.52
1928,-3.74
1929,-0.6
1930,0.6
1931,-10.45
1932,-9
1933,6.23
1934,3.45
1935,0.67
1936,5.96
1937,18.75
1938,4.47
1939,2.77
1940,0.49
1941,6.1
1942,10.57
1943,19.96
1944,28.25
1945,8.11
1946,18.75
1947,2.11
1948,6.19
1949,5.83
1950,11.01
1951,18.24
1952,-2.19
1953,2.09
1954,16.37
1955,9.44
1956,0.58
1957,6.58
1958,3.9
1959,-0.04
1960,4.84
1961,-0.33
1962,3.12
1963,0.2
1964,5.4
1965,0.65
1966,2.58
1967,1.43
1968,2.43
1969,4.87
1970,4.69
1971,4.96
1972,5.56
1973,21.37
1974,20.6
1975,11.31
1976,27.2
1977,20.66
1978,16.17
1979,20.02
1980,29.85
1981,28.68
1982,98.84
1983,80.78
1984,59.16
1985,63.75
1986,105.75
1987,159.17
1988,51.66
1989,19.7
1990,29.93
1991,18.79
1992,11.94
1993,8.01
1994,7.05
1995,51.97
1996,27.7
1997,15.72
1998,18.61
1999,12.32
2000,8.96
2001,4.4
2002,5.7
2003,3.98
2004,0
2005,3.33
2006,4.05
2007,3.76
2008,6.53
2009,3.57
2010,4.4
2011,3.82
2012,3.57
2013,3.97
2014,4.08
2015,2.13
2016,3.36
2017,6.77
2018,4.83
2019,2.83
2020,3.15
